ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,YEARS_EMPLOYED,ASSET_SCORE,DIGITAL_SCORE,EXP_BRACKET,AGE_BIN,INC_BIN
5008823,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,48,3.3,2,0,2-5yr,"[48, 53)",100-150K
5008824,M,1,1,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2,48,3.3,2,0,2-5yr,"[48, 53)",100-150K
5008825,F,1,0,0,130500,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,2,29,3.0,1,0,2-5yr,"[28, 33)",100-150K
5008826,F,1,0,0,130500,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,2,29,3.0,1,0,2-5yr,"[28, 33)",100-150K
5008830,F,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2,27,4.0,1,0,2-5yr,"[23, 28)",150-200K
5008831,F,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2,27,4.0,1,0,2-5yr,"[23, 28)",150-200K
5008832,F,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2,27,4.0,1,0,2-5yr,"[23, 28)",150-200K
5008834,F,0,1,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,2,30,4.4,1,0,2-5yr,"[28, 33)",100-150K
5008835,F,0,1,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,2,30,4.4,1,0,2-5yr,"[28, 33)",100-150K
6153712,F,0,1,1,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,,2,30,4.4,1,0,2-5yr,"[28, 33)",100-150K
5008836,M,1,1,3,270000,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,5,34,3.2,2,0,2-5yr,"[33, 38)",250-300K
5008837,M,1,1,3,270000,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,5,34,3.2,2,0,2-5yr,"[33, 38)",250-300K
5008838,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3,32,5.5,1,0,5-10yr,"[28, 33)",400-500K
5008839,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3,32,5.5,1,0,5-10yr,"[28, 33)",400-500K
5008840,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3,32,5.5,1,0,5-10yr,"[28, 33)",400-500K
5008841,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3,32,5.5,1,0,5-10yr,"[28, 33)",400-500K
5008842,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3,32,5.5,1,0,5-10yr,"[28, 33)",400-500K
5008843,M,0,1,1,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3,32,5.5,1,0,5-10yr,"[28, 33)",400-500K
5008844,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,56,12.2,2,0,10-20yr,"[53, 58)",100-150K
5008846,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,56,12.2,2,0,10-20yr,"[53, 58)",100-150K
5008847,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,56,12.2,2,0,10-20yr,"[53, 58)",100-150K
5008849,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,56,12.2,2,0,10-20yr,"[53, 58)",100-150K
5008850,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,56,12.2,2,0,10-20yr,"[53, 58)",100-150K
5008851,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,56,12.2,2,0,10-20yr,"[53, 58)",100-150K
5008852,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,56,12.2,2,0,10-20yr,"[53, 58)",100-150K
5008853,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,56,12.2,2,0,10-20yr,"[53, 58)",100-150K
6153733,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,56,12.2,2,0,10-20yr,"[53, 58)",100-150K
6153734,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,56,12.2,2,0,10-20yr,"[53, 58)",100-150K
6153735,M,1,1,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2,56,12.2,2,0,10-20yr,"[53, 58)",100-150K
5008854,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008855,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008856,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008857,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008858,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008859,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008860,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008861,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008862,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008863,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008864,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008865,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008866,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008867,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5112846,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
6153736,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,43,8.7,2,0,5-10yr,"[43, 48)",100-150K
5008868,F,0,1,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3,44,19.4,1,0,10-20yr,"[43, 48)",200-250K
5008870,F,0,1,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3,44,19.4,1,0,10-20yr,"[43, 48)",200-250K
5008872,M,1,1,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,Security staff,2,45,14.7,2,0,10-20yr,"[43, 48)",300-400K
6153737,M,1,1,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,Security staff,2,45,14.7,2,0,10-20yr,"[43, 48)",300-400K
5008873,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,33,4.9,1,1,2-5yr,"[33, 38)",100-150K
5008874,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,33,4.9,1,1,2-5yr,"[33, 38)",100-150K
5008875,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,33,4.9,1,1,2-5yr,"[33, 38)",100-150K
5008876,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,33,4.9,1,1,2-5yr,"[33, 38)",100-150K
5008877,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,33,4.9,1,1,2-5yr,"[33, 38)",100-150K
5008878,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,33,4.9,1,1,2-5yr,"[33, 38)",100-150K
5008879,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,33,4.9,1,1,2-5yr,"[33, 38)",100-150K
5008880,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,33,4.9,1,1,2-5yr,"[33, 38)",100-150K
5008881,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,33,4.9,1,1,2-5yr,"[33, 38)",100-150K
5008882,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,33,4.9,1,1,2-5yr,"[33, 38)",100-150K
5008884,F,0,1,0,315000,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186,365243,1,0,0,0,,1,55,0.0,1,0,Unemployed,"[53, 58)",300-400K
5008888,F,0,1,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1,46,3.7,1,0,2-5yr,"[43, 48)",200-250K
5008889,F,0,1,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1,46,3.7,1,0,2-5yr,"[43, 48)",200-250K
5008890,F,0,1,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1,46,3.7,1,0,2-5yr,"[43, 48)",200-250K
5112847,F,0,1,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1,46,3.7,1,0,2-5yr,"[43, 48)",200-250K
5008891,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008892,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008893,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008894,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008895,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008896,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008897,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008898,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008899,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008900,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008901,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008902,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008903,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008904,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008905,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008906,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008907,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008908,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008909,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008910,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008911,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008912,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008913,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008914,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008915,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008916,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008917,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008918,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008919,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008920,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008921,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008922,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008923,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008924,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008925,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008926,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008927,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008928,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008929,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008930,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008931,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008932,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008933,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008934,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008935,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008936,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008937,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008938,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008939,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008940,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008941,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
6153773,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
6153774,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
6153775,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,42,8.9,1,0,5-10yr,"[38, 43)",250-300K
5008942,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2,37,13.3,0,0,10-20yr,"[33, 38)",150-200K
5008943,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2,37,13.3,0,0,10-20yr,"[33, 38)",150-200K
5008944,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2,37,13.3,0,0,10-20yr,"[33, 38)",150-200K
5008945,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2,37,13.3,0,0,10-20yr,"[33, 38)",150-200K
5008946,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2,37,13.3,0,0,10-20yr,"[33, 38)",150-200K
5008947,M,0,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2,42,3.9,1,1,2-5yr,"[38, 43)",100-150K
5008948,M,0,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2,42,3.9,1,1,2-5yr,"[38, 43)",100-150K
5008949,M,0,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2,42,3.9,1,1,2-5yr,"[38, 43)",100-150K
5008950,M,0,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2,42,3.9,1,1,2-5yr,"[38, 43)",100-150K
5008951,M,0,1,1,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,3,28,7.7,1,0,5-10yr,"[28, 33)",200-250K
